gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 4 0.99609375 4 1 1 0.1
1 2 1 6 1 1 0.1
1 6 0 22 0 0 0.0
2 2 1 61 1 1 0.1
2 3 0 69 0 0 0.0
3 3 0 97 0 0 0.0
3 2 2 99 2 2 0.2
4 3 1 143 1 1 0.1
4 4 0 153 0 0 0.0
5 5 0 185 0 0 0.0
5 2 1 214 1 1 0.1
6 6 0 225 0 0 0.0
6 3 1 233 1 1 0.1
7 2 1 263 1 1 0.1
7 4 0 265 0 0 0.0
8 6 0 299 0 0 0.0
8 3 1 311 1 1 0.1
9 5 0 331 0 0 0.0
10 3 0 377 0 0 0.0
11 3 0 397 0 0 0.0
11 1 6 398 6 6 0.6
11 2 1 398 1 1 0.1
12 3 0 417 0 0 0.0
13 3 1 449 1 1 0.1
13 2 5 451 5 5 0.5
13 4 0 452 0 0 0.0
14 2 2 470 2 2 0.2
14 4 1 472 1 1 0.1
14 6 0 480 0 0 0.0
15 2 2 488 2 2 0.2
15 4 0 510 0 0 0.0
16 2 7 516 7 7 0.7
16 3 0 518 0 0 0.0
17 4 1 536 1 1 0.1
17 5 0 553 0 0 0.0
18 1 6 562 6 6 0.6
18 3 0 564 0 0 0.0
19 5 0 578 0 0 0.0
19 2 1 585 1 1 0.1
20 4 0 594 0 0 0.0
21 3 0 615 0 0 0.0
22 5 0 636 0 0 0.0
22 4 1 643 1 1 0.1
22 2 3 652 3 3 0.3
23 1 2 669 2 2 0.2
23 4 0 670 0 0 0.0
24 5 0 674 0 0 0.0
24 1 1 677 1 1 0.1
25 3 1 694 1 1 0.1
25 4 0 698 0 0 0.0
25 1 2 698 2 2 0.2
26 4 0 713 0 0 0.0
27 4 0 720 0 0 0.0
27 3 1 722 1 1 0.1
28 4 0 738 0 0 0.0
29 5 0 758 0 0 0.0
29 4 2 767 2 2 0.2
30 5 0 768 0 0 0.0
30 4 2 769 2 2 0.2
31 4 0 781 0 0 0.0
32 3 0 795 0 0 0.0
33 5 0 796 0 0 0.0
33 4 1 798 1 1 0.1
33 3 3 804 3 3 0.3
34 3 1 817 1 1 0.1
34 4 0 819 0 0 0.0
35 4 0 822 0 0 0.0
36 5 0 832 0 0 0.0
36 0 10 832 10 10 1.0
36 3 1 836 1 1 0.1
37 3 4 841 4 4 0.4
37 4 0 844 0 0 0.0
38 1 3 844 3 3 0.3
38 2 2 844 2 2 0.2
38 3 0 847 0 0 0.0
39 4 0 850 0 0 0.0
39 3 1 850 1 1 0.1
39 2 4 851 4 4 0.4
40 3 0 855 0 0 0.0
40 1 5 856 5 5 0.5
41 4 0 863 0 0 0.0
41 2 2 867 2 2 0.2
42 2 1 872 1 1 0.1
42 4 0 876 0 0 0.0
43 4 1 879 1 1 0.1
43 1 4 879 4 4 0.4
43 5 0 880 0 0 0.0
44 4 0 886 0 0 0.0
44 3 4 891 4 4 0.4
45 3 0 893 0 0 0.0
45 2 1 895 1 1 0.1
46 4 0 899 0 0 0.0
47 1 4 900 4 4 0.4
47 4 0 900 0 0 0.0
48 2 0 905 0 0 0.0
49 6 0 910 0 0 0.0
49 3 1 915 1 1 0.1
50 3 0 917 0 0 0.0
51 2 3 923 3 3 0.3
51 4 0 925 0 0 0.0
52 3 0 937 0 0 0.0
53 3 0 939 0 0 0.0
54 3 2 944 2 2 0.2
54 5 0 945 0 0 0.0
55 2 3 949 3 3 0.3
55 3 0 950 0 0 0.0
56 2 1 952 1 1 0.1
56 4 0 954 0 0 0.0
57 3 2 955 2 2 0.2
57 4 0 955 0 0 0.0
58 4 0 957 0 0 0.0
58 3 2 957 2 2 0.2
59 3 0 958 0 0 0.0
59 2 1 959 1 1 0.1
60 4 0 963 0 0 0.0
61 5 0 967 0 0 0.0
61 2 1 969 1 1 0.1
62 2 0 972 0 0 0.0
63 5 0 975 0 0 0.0
63 3 1 976 1 1 0.1
64 5 0 977 0 0 0.0
64 2 3 977 3 3 0.3
64 3 1 978 1 1 0.1
65 5 0 979 0 0 0.0
65 3 1 979 1 1 0.1
65 2 6 981 6 6 0.6
66 3 0 981 0 0 0.0
66 2 2 984 2 2 0.2
67 2 0 984 0 0 0.0
68 2 3 985 3 3 0.3
68 4 0 985 0 0 0.0
69 4 0 986 0 0 0.0
69 3 1 988 1 1 0.1
70 4 0 989 0 0 0.0
70 2 3 989 3 3 0.3
71 3 0 990 0 0 0.0
72 4 0 991 0 0 0.0
73 2 4 992 4 4 0.4
73 3 0 992 0 0 0.0
74 4 0 993 0 0 0.0
74 3 2 993 2 2 0.2
75 4 0 994 0 0 0.0
75 2 1 994 1 1 0.1
76 2 2 994 2 2 0.2
76 6 0 994 0 0 0.0
76 4 1 995 1 1 0.1
77 1 1 995 1 1 0.1
77 4 0 997 0 0 0.0
78 4 0 997 0 0 0.0
78 3 1 999 1 1 0.1
79 4 0 999 0 0 0.0
79 3 2 999 2 2 0.2
80 4 0 1000 0 0 0.0
80 2 3 1000 3 3 0.3
81 4 0 1001 0 0 0.0
81 3 1 1001 1 1 0.1
82 4 0 1001 0 0 0.0
83 4 0 1004 0 0 0.0
84 3 0 1004 0 0 0.0
85 2 3 1004 3 3 0.3
85 3 1 1004 1 1 0.1
85 4 0 1004 0 0 0.0
86 3 1 1004 1 1 0.1
86 4 0 1004 0 0 0.0
87 4 0 1004 0 0 0.0
87 3 3 1004 3 3 0.3
88 3 0 1004 0 0 0.0
89 4 0 1004 0 0 0.0
89 3 2 1004 2 2 0.2
90 4 0 1005 0 0 0.0
91 3 0 1006 0 0 0.0
92 5 0 1006 0 0 0.0
92 4 1 1006 1 1 0.1
93 3 0 1009 0 0 0.0
93 1 1 1009 1 1 0.1
94 4 0 1009 0 0 0.0
94 3 4 1009 4 4 0.4
95 4 0 1009 0 0 0.0
96 6 0 1009 0 0 0.0
96 4 1 1009 1 1 0.1
97 2 0 1010 0 0 0.0
98 5 0 1011 0 0 0.0
98 2 4 1012 4 4 0.4
98 3 2 1012 2 2 0.2
99 1 5 1013 5 5 0.5
99 3 0 1013 0 0 0.0
100 4 0 1013 0 0 0.0
101 4 0 1013 0 0 0.0
101 3 1 1014 1 1 0.1
102 4 1 1014 1 1 0.1
102 7 0 1014 0 0 0.0
103 3 0 1014 0 0 0.0
104 2 5 1014 5 5 0.5
104 3 1 1014 1 1 0.1
104 4 0 1014 0 0 0.0
105 4 0 1014 0 0 0.0
106 4 2 1014 2 2 0.2
106 5 0 1014 0 0 0.0
106 2 3 1015 3 3 0.3
107 3 0 1015 0 0 0.0
108 5 0 1015 0 0 0.0
108 1 7 1015 7 7 0.7
108 3 2 1015 2 2 0.2
108 4 1 1015 1 1 0.1
109 3 0 1015 0 0 0.0
110 4 0 1015 0 0 0.0
110 2 2 1015 2 2 0.2
111 3 1 1015 1 1 0.1
111 4 0 1015 0 0 0.0
112 4 0 1016 0 0 0.0
113 3 1 1016 1 1 0.1
113 4 0 1016 0 0 0.0
114 2 3 1018 3 3 0.3
114 3 1 1018 1 1 0.1
114 6 0 1018 0 0 0.0
114 1 5 1018 5 5 0.5
115 4 2 1018 2 2 0.2
115 5 0 1018 0 0 0.0
116 4 0 1018 0 0 0.0
117 5 0 1019 0 0 0.0
117 2 1 1019 1 1 0.1
118 3 0 1019 0 0 0.0
118 1 6 1019 6 6 0.6
119 4 0 1019 0 0 0.0
119 3 1 1019 1 1 0.1
120 2 0 1020 0 0 0.0
121 3 0 1020 0 0 0.0
122 3 1 1020 1 1 0.1
122 5 0 1020 0 0 0.0
123 3 0 1020 0 0 0.0
124 3 0 1020 0 0 0.0
125 3 0 1020 0 0 0.0
126 5 0 1020 0 0 0.0
126 3 1 1020 1 1 0.1
126 1 2 1020 2 2 0.2
127 4 0 1020 0 0 0.0
127 3 1 1020 1 1 0.1
128 3 0 1020 0 0 0.0
128 2 3 1020 3 3 0.3
129 4 0 1020 0 0 0.0
129 3 3 1020 3 3 0.3
130 3 0 1020 0 0 0.0
131 3 0 1020 0 0 0.0
132 4 0 1020 0 0 0.0
132 2 3 1020 3 3 0.3
132 3 1 1020 1 1 0.1
133 3 0 1020 0 0 0.0
134 5 0 1020 0 0 0.0
134 3 2 1021 2 2 0.2
135 3 0 1021 0 0 0.0
136 4 1 1021 1 1 0.1
136 5 0 1021 0 0 0.0
137 2 5 1021 5 5 0.5
137 4 2 1021 2 2 0.2
137 5 0 1022 0 0 0.0
138 4 0 1022 0 0 0.0
139 4 0 1023 0 0 0.0
140 3 1 1023 1 1 0.1
140 4 0 1023 0 0 0.0
141 4 0 1023 0 0 0.0
141 3 1 1023 1 1 0.1
142 4 0 1023 0 0 0.0
142 3 3 1023 3 3 0.3
143 5 0 1023 0 0 0.0
143 3 1 1023 1 1 0.1
144 6 0 1023 0 0 0.0
144 4 1 1023 1 1 0.1
145 3 0 1023 0 0 0.0
146 4 0 1023 0 0 0.0
146 2 4 1023 4 4 0.4
147 4 0 1023 0 0 0.0
147 2 1 1023 1 1 0.1
148 5 0 1023 0 0 0.0
148 2 1 1023 1 1 0.1
149 4 0 1023 0 0 0.0
149 3 3 1023 3 3 0.3
150 2 1 1023 1 1 0.1
150 4 0 1023 0 0 0.0
151 6 0 1023 0 0 0.0
151 4 1 1023 1 1 0.1
152 4 0 1023 0 0 0.0
152 3 2 1023 2 2 0.2
153 3 0 1023 0 0 0.0
154 4 1 1023 1 1 0.1
154 5 0 1023 0 0 0.0
154 3 3 1023 3 3 0.3
155 3 0 1023 0 0 0.0
156 3 1 1023 1 1 0.1
156 2 4 1023 4 4 0.4
156 5 0 1023 0 0 0.0
157 3 3 1023 3 3 0.3
157 4 0 1023 0 0 0.0
158 2 0 1023 0 0 0.0
159 5 0 1023 0 0 0.0
159 4 2 1023 2 2 0.2
160 4 0 1023 0 0 0.0
160 3 4 1023 4 4 0.4
161 5 0 1023 0 0 0.0
161 3 1 1023 1 1 0.1
162 3 0 1023 0 0 0.0
162 2 1 1023 1 1 0.1
163 4 1 1023 1 1 0.1
163 6 0 1023 0 0 0.0
163 2 2 1023 2 2 0.2
164 2 6 1023 6 6 0.6
164 3 0 1023 0 0 0.0
165 1 4 1023 4 4 0.4
165 4 0 1023 0 0 0.0
166 4 0 1023 0 0 0.0
166 3 2 1023 2 2 0.2
167 3 2 1023 2 2 0.2
167 4 0 1023 0 0 0.0
168 4 0 1023 0 0 0.0
168 2 1 1023 1 1 0.1
169 3 0 1023 0 0 0.0
170 2 1 1023 1 1 0.1
170 3 0 1023 0 0 0.0
171 1 7 1023 7 7 0.7
171 5 0 1023 0 0 0.0
171 4 1 1023 1 1 0.1
172 4 0 1023 0 0 0.0
172 3 1 1023 1 1 0.1
172 1 4 1023 4 4 0.4
173 5 0 1023 0 0 0.0
173 3 1 1023 1 1 0.1
174 3 0 1023 0 0 0.0
175 3 0 1023 0 0 0.0
176 3 1 1023 1 1 0.1
176 4 0 1023 0 0 0.0
177 3 1 1023 1 1 0.1
177 4 0 1023 0 0 0.0
178 3 1 1023 1 1 0.1
178 4 0 1023 0 0 0.0
179 3 0 1023 0 0 0.0
180 3 0 1023 0 0 0.0
181 3 0 1023 0 0 0.0
181 2 1 1023 1 1 0.1
182 3 0 1023 0 0 0.0
182 2 1 1023 1 1 0.1
183 3 1 1023 1 1 0.1
183 4 0 1023 0 0 0.0
184 2 1 1023 1 1 0.1
184 4 0 1023 0 0 0.0
184 1 4 1023 4 4 0.4
185 2 0 1023 0 0 0.0
186 4 0 1023 0 0 0.0
186 3 2 1023 2 2 0.2
187 2 1 1023 1 1 0.1
187 6 0 1023 0 0 0.0
187 1 7 1023 7 7 0.7
188 3 0 1023 0 0 0.0
189 2 6 1023 6 6 0.6
189 4 0 1023 0 0 0.0
190 4 0 1023 0 0 0.0
190 3 4 1023 4 4 0.4
191 2 1 1023 1 1 0.1
192 5 0 1023 0 0 0.0
192 4 1 1023 1 1 0.1
193 3 1 1023 1 1 0.1
193 5 0 1023 0 0 0.0
193 1 3 1023 3 3 0.3
194 3 0 1023 0 0 0.0
195 4 0 1023 0 0 0.0
196 1 6 1023 6 6 0.6
196 3 0 1023 0 0 0.0
197 4 0 1023 0 0 0.0
198 5 0 1023 0 0 0.0
198 4 1 1023 1 1 0.1
198 3 2 1023 2 2 0.2
199 3 0 1023 0 0 0.0
199 1 3 1023 3 3 0.3
200 4 0 1023 0 0 0.0
201 1 3 1023 3 3 0.3
201 4 0 1023 0 0 0.0
202 3 0 1023 0 0 0.0
203 3 0 1023 0 0 0.0
204 2 2 1023 2 2 0.2
204 3 0 1023 0 0 0.0
205 3 2 1023 2 2 0.2
205 4 0 1023 0 0 0.0
206 2 0 1023 0 0 0.0
207 3 0 1023 0 0 0.0
208 2 3 1023 3 3 0.3
208 4 0 1023 0 0 0.0
208 3 1 1023 1 1 0.1
209 4 0 1023 0 0 0.0
210 3 0 1023 0 0 0.0
210 1 4 1023 4 4 0.4
211 3 0 1023 0 0 0.0
212 5 0 1023 0 0 0.0
213 4 0 1024 0 0 0.0
214 3 0 1024 0 0 0.0
215 3 0 1024 0 0 0.0
216 4 0 1024 0 0 0.0
217 3 0 1024 0 0 0.0
218 4 0 1024 0 0 0.0
219 4 0 1024 0 0 0.0
219 3 2 1024 2 2 0.2
220 3 1 1024 1 1 0.1
220 5 0 1024 0 0 0.0
221 6 0 1024 0 0 0.0
221 1 3 1024 3 3 0.3
221 3 1 1024 1 1 0.1
222 8 0 1024 0 0 0.0
222 3 1 1024 1 1 0.1
223 4 0 1024 0 0 0.0
223 3 1 1024 1 1 0.1
224 3 0 1024 0 0 0.0
225 4 0 1024 0 0 0.0
226 3 0 1024 0 0 0.0
227 1 3 1024 3 3 0.3
227 2 1 1024 1 1 0.1
227 5 0 1024 0 0 0.0
228 3 0 1024 0 0 0.0
229 3 2 1024 2 2 0.2
229 4 0 1024 0 0 0.0
229 2 3 1024 3 3 0.3
230 2 0 1024 0 0 0.0
231 3 0 1024 0 0 0.0
232 3 0 1024 0 0 0.0
232 2 3 1024 3 3 0.3
233 2 2 1024 2 2 0.2
233 3 0 1024 0 0 0.0
234 3 4 1024 4 4 0.4
234 4 0 1024 0 0 0.0
235 4 0 1024 0 0 0.0
235 2 1 1024 1 1 0.1
236 4 3 1024 3 3 0.3
