gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 2 9.947265625 9 10 10 1.0
1 4 5.974609375 13 6 6 0.6
1 5 5.955078125 23 6 6 0.6
1 3 7.96875 32 8 8 0.8
2 7 2.9365234375 65 3 3 0.3
2 6 3.9267578125 75 4 4 0.4
2 3 5.9169921875 85 6 6 0.6
3 4 8.9033203125 99 9 9 0.9
3 5 6 118 6 6 0.6
4 2 7 146 7 7 0.7
4 4 3 158 3 3 0.3
5 4 5 188 5 5 0.5
5 3 9 199 9 9 0.9
6 5 3 252 3 3 0.3
6 2 6 257 6 6 0.6
7 5 5 271 5 5 0.5
7 3 8 290 8 8 0.8
8 2 10 303 10 10 1.0
8 3 9 317 9 9 0.9
8 4 3 321 3 3 0.3
9 3 9 339 9 9 0.9
9 4 7 350 7 7 0.7
9 5 3 367 3 3 0.3
10 6 4 376 4 4 0.4
10 5 7 383 7 7 0.7
10 4 9 386 9 9 0.9
11 3 6 429 6 6 0.6
11 7 3 433 3 3 0.3
12 4 6 439 6 6 0.6
12 2 9 453 9 9 0.9
12 6 3 457 3 3 0.3
12 5 5 458 5 5 0.5
13 5 5 466 5 5 0.5
13 3 9 470 9 9 0.9
14 4 6 492 6 6 0.6
14 2 9 500 9 9 0.9
14 6 4 503 4 4 0.4
15 6 6 520 6 6 0.6
15 1 9 523 9 9 0.9
15 4 8 526 8 8 0.8
16 3 6 536 6 6 0.6
16 0 10 539 10 10 1.0
16 7 3 549 3 3 0.3
17 8 6 562 6 6 0.6
17 4 9 570 9 9 0.9
17 5 7 583 7 7 0.7
18 3 9 590 9 9 0.9
18 4 8 590 8 8 0.8
18 5 2 591 2 2 0.2
19 4 8 612 8 8 0.8
19 5 3 614 3 3 0.3
19 2 10 629 10 10 1.0
20 3 4 632 4 4 0.4
21 5 6 656 6 6 0.6
21 2 9 671 9 9 0.9
22 5 3 682 3 3 0.3
22 4 8 684 8 8 0.8
22 3 10 690 10 10 1.0
23 3 9 694 9 9 0.9
23 4 7 699 7 7 0.7
24 5 5 712 5 5 0.5
24 3 9 714 9 9 0.9
24 8 3 722 3 3 0.3
24 6 4 728 4 4 0.4
25 3 6 741 6 6 0.6
26 3 9 745 9 9 0.9
26 4 3 754 3 3 0.3
27 4 8 757 8 8 0.8
27 5 4 763 4 4 0.4
28 6 6 768 6 6 0.6
28 3 7 773 7 7 0.7
29 3 4 776 4 4 0.4
29 7 2 779 2 2 0.2
29 2 8 779 8 8 0.8
30 4 7 793 7 7 0.7
30 5 5 795 5 5 0.5
31 5 4 796 4 4 0.4
31 2 9 797 9 9 0.9
31 4 7 799 7 7 0.7
32 5 2 812 2 2 0.2
32 2 9 814 9 9 0.9
33 3 9 817 9 9 0.9
33 4 5 820 5 5 0.5
34 6 5 828 5 5 0.5
34 5 6 831 6 6 0.6
35 2 4 843 4 4 0.4
36 4 8 846 8 8 0.8
36 6 6 848 6 6 0.6
37 8 5 859 5 5 0.5
37 4 6 860 6 6 0.6
38 5 6 865 6 6 0.6
38 2 7 865 7 7 0.7
38 7 5 869 5 5 0.5
39 4 4 874 4 4 0.4
39 2 9 874 9 9 0.9
39 5 3 874 3 3 0.3
40 5 4 877 4 4 0.4
40 8 1 877 1 1 0.1
40 2 8 879 8 8 0.8
40 4 7 879 7 7 0.7
41 3 6 881 6 6 0.6
41 2 10 886 10 10 1.0
41 6 5 888 5 5 0.5
42 3 9 897 9 9 0.9
42 4 4 898 4 4 0.4
42 6 3 901 3 3 0.3
43 3 8 904 8 8 0.8
43 7 5 904 5 5 0.5
44 3 8 907 8 8 0.8
44 2 10 908 10 10 1.0
44 7 3 910 3 3 0.3
44 5 6 911 6 6 0.6
45 2 9 911 9 9 0.9
45 4 8 918 8 8 0.8
45 6 7 918 7 7 0.7
46 3 10 920 10 10 1.0
46 4 8 922 8 8 0.8
46 6 7 922 7 7 0.7
47 5 5 924 5 5 0.5
47 6 3 924 3 3 0.3
47 4 9 924 9 9 0.9
48 3 6 930 6 6 0.6
48 6 4 930 4 4 0.4
49 3 7 934 7 7 0.7
50 4 3 939 3 3 0.3
51 3 10 940 10 10 1.0
51 4 5 942 5 5 0.5
51 5 3 943 3 3 0.3
52 1 10 943 10 10 1.0
52 5 7 943 7 7 0.7
