gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 5 8.6572265625 39 9 6 0.8571428571428571
1 2 9.6396484375 41 10 7 1.0
2 9 7.548828125 66 8 5 0.7142857142857143
2 4 9.31640625 100 10 7 1.0
3 3 8.373046875 107 9 6 0.8571428571428571
3 6 8.232421875 131 9 6 0.8571428571428571
4 2 6.927734375 183 8 5 0.7142857142857143
5 3 8.8046875 204 10 7 1.0
5 4 8.763671875 211 10 7 1.0
5 5 8.669921875 227 10 7 1.0
6 2 8.5 256 10 7 1.0
6 4 5.73046875 260 7 4 0.5714285714285714
7 2 8.88671875 285 10 7 1.0
7 8 7.859375 292 9 6 0.8571428571428571
7 3 8.8515625 294 10 7 1.0
7 4 8.8046875 306 10 7 1.0
8 5 7.7421875 322 9 6 0.8571428571428571
8 7 7.71875 328 9 6 0.8571428571428571
8 1 8.71484375 329 10 7 1.0
8 3 8.67578125 339 10 7 1.0
9 4 7.6328125 350 9 6 0.8571428571428571
10 3 8.45703125 395 10 7 1.0
10 6 7.421875 404 9 6 0.8571428571428571
10 5 8.4140625 406 10 7 1.0
11 2 8.4140625 406 10 7 1.0
11 3 7.359375 420 9 6 0.8571428571428571
12 3 8.1796875 466 10 7 1.0
13 3 8.16796875 469 10 7 1.0
13 4 8.125 480 10 7 1.0
13 5 8.09765625 487 10 7 1.0
13 6 8.06640625 495 10 7 1.0
14 1 8.03515625 503 10 7 1.0
14 4 5.99609375 513 8 5 0.7142857142857143
15 3 7.91796875 533 10 7 1.0
15 6 7.890625 540 10 7 1.0
16 2 7.8125 560 10 7 1.0
17 4 7.78515625 567 10 7 1.0
17 6 7.7734375 570 10 7 1.0
17 8 5.2978515625 581 7 4 0.5714285714285714
18 6 7.2451171875 599 9 6 0.8571428571428571
18 1 8.2099609375 611 10 7 1.0
19 3 8.1689453125 625 10 7 1.0
19 5 3.16015625 628 5 2 0.2857142857142857
20 3 8.1279296875 639 10 7 1.0
20 5 8.1220703125 641 10 7 1.0
20 6 8.11328125 644 10 7 1.0
20 7 8.1103515625 645 10 7 1.0
21 4 7.1044921875 647 9 6 0.8571428571428571
21 3 8.1044921875 647 10 7 1.0
21 5 6.1015625 648 8 5 0.7142857142857143
21 6 6.083984375 654 8 5 0.7142857142857143
22 2 8.0751953125 657 10 7 1.0
22 4 7.0576171875 663 9 6 0.8571428571428571
23 4 6.0400390625 669 8 5 0.7142857142857143
23 3 8.0224609375 675 10 7 1.0
24 2 7.99609375 684 10 7 1.0
24 3 7.966796875 694 10 7 1.0
25 2 7.955078125 698 10 7 1.0
25 7 4.955078125 698 7 4 0.5714285714285714
25 4 7.9404296875 703 10 7 1.0
26 3 7.8994140625 717 10 7 1.0
26 5 7.8935546875 719 10 7 1.0
27 1 7.884765625 722 10 7 1.0
27 4 7.8642578125 729 10 7 1.0
28 2 7.8291015625 741 10 7 1.0
28 5 7.8232421875 743 10 7 1.0
28 6 7.8173828125 745 10 7 1.0
29 3 7.8056640625 749 10 7 1.0
29 4 7.78515625 756 10 7 1.0
29 5 7.7822265625 757 10 7 1.0
30 5 6.7734375 760 9 6 0.8571428571428571
30 3 7.7734375 760 10 7 1.0
31 2 7.75 768 10 7 1.0
31 5 7.7353515625 773 10 7 1.0
32 0 7.7177734375 779 10 7 1.0
32 3 7.708984375 782 10 7 1.0
32 6 5.697265625 786 8 5 0.7142857142857143
33 5 6.66796875 796 9 6 0.8571428571428571
33 4 7.65625 800 10 7 1.0
34 8 0.638671875 806 3 0 0.0
34 3 5.62109375 812 8 5 0.7142857142857143
35 5 6.6181640625 813 9 6 0.8571428571428571
35 1 7.615234375 814 10 7 1.0
35 4 7.6064453125 817 10 7 1.0
36 6 6.591796875 822 9 6 0.8571428571428571
36 2 7.5888671875 823 10 7 1.0
36 3 7.580078125 826 10 7 1.0
37 3 6.5625 832 9 6 0.8571428571428571
38 1 6.544921875 838 9 6 0.8571428571428571
39 3 7.52734375 844 10 7 1.0
39 4 7.5244140625 845 10 7 1.0
40 4 2.5068359375 851 5 2 0.2857142857142857
40 1 7.5009765625 853 10 7 1.0
41 4 7.4833984375 859 10 7 1.0
41 5 7.48046875 860 10 7 1.0
41 6 7.474609375 862 10 7 1.0
41 7 7.45703125 868 10 7 1.0
42 3 7.4248046875 879 10 7 1.0
43 7 6.4248046875 879 9 6 0.8571428571428571
43 3 7.4072265625 885 10 7 1.0
43 4 7.3984375 888 10 7 1.0
44 5 6.38671875 892 9 6 0.8571428571428571
44 4 7.3720703125 897 10 7 1.0
45 3 7.36328125 900 10 7 1.0
45 6 6.36328125 900 9 6 0.8571428571428571
45 4 7.3515625 904 10 7 1.0
45 5 7.3486328125 905 10 7 1.0
46 2 7.3427734375 907 10 7 1.0
46 6 6.333984375 910 9 6 0.8571428571428571
46 7 6.3310546875 911 9 6 0.8571428571428571
46 5 7.3310546875 911 10 7 1.0
47 5 6.328125 912 9 6 0.8571428571428571
47 2 7.328125 912 10 7 1.0
47 3 7.3193359375 915 10 7 1.0
48 4 6.298828125 922 9 6 0.8571428571428571
48 5 6.29296875 924 9 6 0.8571428571428571
48 3 7.29296875 924 10 7 1.0
49 3 7.287109375 926 10 7 1.0
49 4 7.275390625 930 10 7 1.0
50 5 6.26953125 932 9 6 0.8571428571428571
50 2 7.2666015625 933 10 7 1.0
50 4 7.263671875 934 10 7 1.0
51 4 7.2607421875 935 10 7 1.0
51 5 7.2548828125 937 10 7 1.0
52 7 5.2490234375 939 8 5 0.7142857142857143
52 6 6.240234375 942 9 6 0.8571428571428571
52 0 7.240234375 942 10 7 1.0
53 3 7.2255859375 947 10 7 1.0
53 4 7.2197265625 949 10 7 1.0
53 5 7.216796875 950 10 7 1.0
54 3 7.216796875 950 10 7 1.0
54 4 7.2109375 952 10 7 1.0
54 5 7.2080078125 953 10 7 1.0
55 3 7.2080078125 953 10 7 1.0
55 5 6.205078125 954 9 6 0.8571428571428571
55 4 7.2021484375 955 10 7 1.0
56 4 6.1904296875 959 9 6 0.8571428571428571
56 3 7.1904296875 959 10 7 1.0
57 3 0.1845703125 961 3 0 0.0
58 5 7.1669921875 967 10 7 1.0
59 4 7.158203125 970 10 7 1.0
59 5 7.1552734375 971 10 7 1.0
60 3 0.1552734375 971 3 0 0.0
61 3 7.146484375 974 10 7 1.0
62 2 7.146484375 974 10 7 1.0
62 4 7.140625 976 10 7 1.0
63 5 6.140625 976 9 6 0.8571428571428571
63 1 7.140625 976 10 7 1.0
64 2 4.1376953125 977 7 4 0.5714285714285714
65 2 7.1259765625 981 10 7 1.0
66 3 2.1171875 984 5 2 0.2857142857142857
67 2 7.1171875 984 10 7 1.0
67 5 6.1171875 984 9 6 0.8571428571428571
68 6 6.1142578125 985 9 6 0.8571428571428571
68 3 7.111328125 986 10 7 1.0
69 6 4.1025390625 989 7 4 0.5714285714285714
69 4 6.1025390625 989 9 6 0.8571428571428571
69 1 7.1025390625 989 10 7 1.0
70 2 7.099609375 990 10 7 1.0
71 0 7.0966796875 991 10 7 1.0
72 2 7.0966796875 991 10 7 1.0
72 4 7.087890625 994 10 7 1.0
73 3 7.076171875 998 10 7 1.0
74 4 6.076171875 998 9 6 0.8571428571428571
74 3 7.076171875 998 10 7 1.0
75 3 7.0732421875 999 10 7 1.0
76 3 7.0732421875 999 10 7 1.0
76 6 7.0673828125 1001 10 7 1.0
77 3 7.0673828125 1001 10 7 1.0
77 5 6.0673828125 1001 9 6 0.8571428571428571
78 3 6.0673828125 1001 9 6 0.8571428571428571
79 3 2.0615234375 1003 5 2 0.2857142857142857
80 3 7.05859375 1004 10 7 1.0
80 4 7.052734375 1006 10 7 1.0
80 5 6.052734375 1006 9 6 0.8571428571428571
81 4 7.052734375 1006 10 7 1.0
81 7 6.0498046875 1007 9 6 0.8571428571428571
81 5 7.0498046875 1007 10 7 1.0
81 6 7.046875 1008 10 7 1.0
82 3 7.0439453125 1009 10 7 1.0
82 7 4.0439453125 1009 7 4 0.5714285714285714
83 2 7.0439453125 1009 10 7 1.0
83 6 4.0439453125 1009 7 4 0.5714285714285714
84 4 7.041015625 1010 10 7 1.0
85 4 4.041015625 1010 7 4 0.5714285714285714
86 4 7.041015625 1010 10 7 1.0
86 5 6.041015625 1010 9 6 0.8571428571428571
87 0 7.041015625 1010 10 7 1.0
87 4 5.041015625 1010 8 5 0.7142857142857143
87 7 5.0380859375 1011 8 5 0.7142857142857143
88 3 7.0380859375 1011 10 7 1.0
89 4 7.0380859375 1011 10 7 1.0
89 5 2.0380859375 1011 5 2 0.2857142857142857
90 3 7.0380859375 1011 10 7 1.0
91 6 6.0380859375 1011 9 6 0.8571428571428571
91 3 7.0380859375 1011 10 7 1.0
91 4 7.03515625 1012 10 7 1.0
91 8 6.03515625 1012 9 6 0.8571428571428571
92 3 7.03515625 1012 10 7 1.0
93 5 5.03515625 1012 8 5 0.7142857142857143
93 3 7.03515625 1012 10 7 1.0
94 2 7.03515625 1012 10 7 1.0
94 7 4.03515625 1012 7 4 0.5714285714285714
95 7 4.0322265625 1013 7 4 0.5714285714285714
95 4 7.029296875 1014 10 7 1.0
95 5 7.0263671875 1015 10 7 1.0
96 4 2.0234375 1016 5 2 0.2857142857142857
97 5 6.0205078125 1017 9 6 0.8571428571428571
97 1 7.0205078125 1017 10 7 1.0
97 3 7.017578125 1018 10 7 1.0
97 7 6.017578125 1018 9 6 0.8571428571428571
98 3 7.017578125 1018 10 7 1.0
99 3 7.0146484375 1019 10 7 1.0
100 6 4.0146484375 1019 7 4 0.5714285714285714
100 2 7.0146484375 1019 10 7 1.0
101 6 5.0146484375 1019 8 5 0.7142857142857143
101 8 4.0146484375 1019 7 4 0.5714285714285714
101 2 7.0146484375 1019 10 7 1.0
102 3 7.0146484375 1019 10 7 1.0
102 5 5.0146484375 1019 8 5 0.7142857142857143
103 3 7.0146484375 1019 10 7 1.0
104 7 1.01171875 1020 4 1 0.14285714285714285
104 1 7.0087890625 1021 10 7 1.0
105 7 6.0087890625 1021 9 6 0.8571428571428571
105 3 7.0087890625 1021 10 7 1.0
106 1 7.0087890625 1021 10 7 1.0
107 3 4.0087890625 1021 7 4 0.5714285714285714
108 2 7.0087890625 1021 10 7 1.0
108 6 6.0087890625 1021 9 6 0.8571428571428571
109 7 4.0087890625 1021 7 4 0.5714285714285714
109 3 7.0087890625 1021 10 7 1.0
110 7 4.0087890625 1021 7 4 0.5714285714285714
110 3 7.0087890625 1021 10 7 1.0
111 2 7.0087890625 1021 10 7 1.0
111 8 6.0087890625 1021 9 6 0.8571428571428571
112 1 7.0087890625 1021 10 7 1.0
112 5 6.0087890625 1021 9 6 0.8571428571428571
113 6 6.0087890625 1021 9 6 0.8571428571428571
113 3 7.0087890625 1021 10 7 1.0
