gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 5 0 24 0 0 0.0
1 2 1 31 1 1 0.1
2 5 0 63 0 0 0.0
2 1 3 80 3 3 0.3
2 2 1 82 1 1 0.1
3 3 0 99 0 0 0.0
3 2 2 105 2 2 0.2
4 4 0 172 0 0 0.0
5 2 0 179 0 0 0.0
6 2 2 216 2 2 0.2
6 3 0 233 0 0 0.0
7 4 1 252 1 1 0.1
7 1 4 253 4 4 0.4
7 6 0 265 0 0 0.0
7 3 3 295 3 3 0.3
8 4 0 299 0 0 0.0
8 3 1 327 1 1 0.1
8 2 4 328 4 4 0.4
9 3 0 339 0 0 0.0
10 3 0 380 0 0 0.0
11 4 0 422 0 0 0.0
12 3 0 437 0 0 0.0
13 3 0 482 0 0 0.0
14 3 0 491 0 0 0.0
15 3 3 503 3 3 0.3
15 4 1 512 1 1 0.1
15 5 0 522 0 0 0.0
16 5 0 540 0 0 0.0
16 4 3 550 3 3 0.3
17 3 0 557 0 0 0.0
17 2 2 557 2 2 0.2
18 3 2 573 2 2 0.2
18 4 1 575 1 1 0.1
18 6 0 580 0 0 0.0
19 5 0 596 0 0 0.0
19 4 1 606 1 1 0.1
20 3 0 625 0 0 0.0
21 2 1 653 1 1 0.1
21 3 0 655 0 0 0.0
22 4 0 657 0 0 0.0
22 3 1 662 1 1 0.1
23 3 0 683 0 0 0.0
24 3 3 689 3 3 0.3
24 4 0 689 0 0 0.0
25 3 0 702 0 0 0.0
26 2 0 713 0 0 0.0
27 4 0 729 0 0 0.0
27 2 2 734 2 2 0.2
28 4 1 742 1 1 0.1
28 5 0 745 0 0 0.0
29 2 0 762 0 0 0.0
30 3 1 768 1 1 0.1
30 4 0 776 0 0 0.0
31 2 3 783 3 3 0.3
31 1 4 784 4 4 0.4
31 4 0 787 0 0 0.0
32 4 0 790 0 0 0.0
33 3 0 803 0 0 0.0
34 3 1 819 1 1 0.1
34 2 4 819 4 4 0.4
34 4 0 822 0 0 0.0
35 4 0 827 0 0 0.0
36 4 0 841 0 0 0.0
36 3 1 844 1 1 0.1
37 5 0 847 0 0 0.0
37 3 2 850 2 2 0.2
38 3 3 853 3 3 0.3
38 4 0 854 0 0 0.0
39 2 1 857 1 1 0.1
39 5 0 861 0 0 0.0
