gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 2 9.8154296875 27 10 10 1.0
1 7 3.875 32 4 4 0.4
1 4 4.9580078125 43 5 5 0.5
2 4 7.94140625 60 8 8 0.8
2 3 8 75 8 8 0.8
2 1 10 76 10 10 1.0
2 5 0 86 0 0 0.0
3 3 5 107 5 5 0.5
4 2 8 161 8 8 0.8
5 6 2 203 2 2 0.2
5 4 4 206 4 4 0.4
6 4 3 227 3 3 0.3
6 3 8 244 8 8 0.8
6 2 10 246 10 10 1.0
7 3 9 263 9 9 0.9
7 5 0 279 0 0 0.0
8 3 7 296 7 7 0.7
8 4 0 311 0 0 0.0
9 7 5 336 5 5 0.5
9 2 10 344 10 10 1.0
9 3 7 355 7 7 0.7
10 2 10 376 10 10 1.0
10 3 5 395 5 5 0.5
11 6 4 410 4 4 0.4
11 3 9 411 9 9 0.9
11 5 5 431 5 5 0.5
12 3 8 437 8 8 0.8
12 5 5 466 5 5 0.5
13 4 8 486 8 8 0.8
13 8 6 491 6 6 0.6
13 1 10 492 10 10 1.0
13 5 7 495 7 7 0.7
14 4 8 503 8 8 0.8
14 8 4 510 4 4 0.4
14 3 10 515 10 10 1.0
14 5 7 519 7 7 0.7
15 6 4 549 4 4 0.4
15 4 6 556 6 6 0.6
16 3 5 557 5 5 0.5
17 3 7 577 7 7 0.7
17 2 9 581 9 9 0.9
17 5 5 583 5 5 0.5
18 5 5 598 5 5 0.5
18 2 10 598 10 10 1.0
18 3 8 606 8 8 0.8
18 6 3 607 3 3 0.3
19 2 10 609 10 10 1.0
19 7 6 614 6 6 0.6
19 3 8 615 8 8 0.8
19 4 7 623 7 7 0.7
20 5 5 632 5 5 0.5
20 6 4 646 4 4 0.4
20 4 9 650 9 9 0.9
21 3 5 658 5 5 0.5
22 4 5 666 5 5 0.5
22 3 10 672 10 10 1.0
22 6 4 684 4 4 0.4
23 4 8 690 8 8 0.8
23 5 3 693 3 3 0.3
24 3 7 702 7 7 0.7
25 3 8 716 8 8 0.8
25 4 5 721 5 5 0.5
26 3 8 730 8 8 0.8
26 5 6 749 6 6 0.6
27 3 6 754 6 6 0.6
27 4 3 760 3 3 0.3
28 5 8 762 8 8 0.8
28 6 4 763 4 4 0.4
28 2 10 764 10 10 1.0
28 4 9 772 9 9 0.9
29 5 6 777 6 6 0.6
29 2 8 784 8 8 0.8
30 3 9 789 9 9 0.9
30 4 4 797 4 4 0.4
31 3 6 802 6 6 0.6
31 7 2 803 2 2 0.2
31 6 5 806 5 5 0.5
32 3 10 808 10 10 1.0
32 7 6 813 6 6 0.6
32 4 9 815 9 9 0.9
32 8 1 821 1 1 0.1
33 5 6 827 6 6 0.6
33 6 5 834 5 5 0.5
33 1 8 834 8 8 0.8
34 4 4 839 4 4 0.4
34 2 10 844 10 10 1.0
35 4 7 849 7 7 0.7
35 2 8 849 8 8 0.8
35 5 4 854 4 4 0.4
36 6 6 859 6 6 0.6
36 5 9 863 9 9 0.9
36 7 3 864 3 3 0.3
36 3 10 866 10 10 1.0
37 3 8 867 8 8 0.8
37 5 6 870 6 6 0.6
37 6 5 874 5 5 0.5
37 8 3 876 3 3 0.3
38 2 9 877 9 9 0.9
38 6 2 879 2 2 0.2
38 4 8 880 8 8 0.8
39 3 6 884 6 6 0.6
39 7 4 891 4 4 0.4
40 2 5 893 5 5 0.5
40 6 2 896 2 2 0.2
41 4 3 900 3 3 0.3
41 3 8 905 8 8 0.8
42 4 4 909 4 4 0.4
42 3 10 909 10 10 1.0
43 7 3 923 3 3 0.3
43 3 10 923 10 10 1.0
43 4 7 923 7 7 0.7
44 2 10 925 10 10 1.0
44 5 4 925 4 4 0.4
44 3 9 925 9 9 0.9
44 4 5 929 5 5 0.5
45 4 4 930 4 4 0.4
45 3 6 932 6 6 0.6
46 5 4 934 4 4 0.4
46 4 5 936 5 5 0.5
46 3 10 938 10 10 1.0
47 3 5 939 5 5 0.5
47 1 10 944 10 10 1.0
48 2 7 947 7 7 0.7
48 4 0 950 0 0 0.0
49 4 6 952 6 6 0.6
49 6 5 954 5 5 0.5
50 4 6 957 6 6 0.6
50 2 10 958 10 10 1.0
51 5 4 961 4 4 0.4
51 4 9 965 9 9 0.9
52 3 8 967 8 8 0.8
52 6 6 968 6 6 0.6
52 8 3 969 3 3 0.3
53 1 10 969 10 10 1.0
53 4 7 970 7 7 0.7
53 6 3 971 3 3 0.3
53 5 5 971 5 5 0.5
54 3 8 972 8 8 0.8
54 4 7 972 7 7 0.7
55 4 7 973 7 7 0.7
55 3 10 975 10 10 1.0
55 6 0 975 0 0 0.0
56 1 10 975 10 10 1.0
56 5 6 975 6 6 0.6
56 2 8 975 8 8 0.8
56 7 5 975 5 5 0.5
56 4 7 976 7 7 0.7
57 1 10 976 10 10 1.0
57 4 6 976 6 6 0.6
57 6 4 976 4 4 0.4
58 4 8 978 8 8 0.8
58 6 6 980 6 6 0.6
58 8 5 981 5 5 0.5
59 3 8 982 8 8 0.8
59 7 5 982 5 5 0.5
59 5 7 985 7 7 0.7
60 7 4 985 4 4 0.4
60 3 10 985 10 10 1.0
60 4 5 985 5 5 0.5
61 5 5 986 5 5 0.5
61 4 7 986 7 7 0.7
62 4 5 989 5 5 0.5
62 2 9 989 9 9 0.9
63 4 5 991 5 5 0.5
63 3 8 991 8 8 0.8
64 5 1 991 1 1 0.1
64 3 10 991 10 10 1.0
64 4 7 993 7 7 0.7
65 2 8 994 8 8 0.8
65 5 5 995 5 5 0.5
66 2 8 995 8 8 0.8
67 2 8 995 8 8 0.8
67 6 5 995 5 5 0.5
67 3 6 995 6 6 0.6
68 3 8 996 8 8 0.8
68 4 4 1000 4 4 0.4
68 1 10 1000 10 10 1.0
69 3 7 1000 7 7 0.7
69 9 2 1000 2 2 0.2
69 4 6 1000 6 6 0.6
69 5 5 1000 5 5 0.5
70 3 8 1000 8 8 0.8
70 5 1 1002 1 1 0.1
71 3 0 1004 0 0 0.0
72 5 5 1004 5 5 0.5
72 4 7 1004 7 7 0.7
72 3 9 1004 9 9 0.9
72 8 3 1004 3 3 0.3
73 3 7 1004 7 7 0.7
73 2 10 1004 10 10 1.0
73 9 6 1004 6 6 0.6
74 2 5 1005 5 5 0.5
74 6 4 1005 4 4 0.4
75 5 8 1005 8 8 0.8
75 8 1 1005 1 1 0.1
75 2 9 1005 9 9 0.9
75 6 5 1005 5 5 0.5
76 4 0 1007 0 0 0.0
77 2 9 1007 9 9 0.9
77 5 8 1007 8 8 0.8
77 7 7 1007 7 7 0.7
78 4 6 1007 6 6 0.6
78 7 4 1007 4 4 0.4
79 3 10 1007 10 10 1.0
79 5 5 1007 5 5 0.5
79 4 9 1007 9 9 0.9
80 6 4 1007 4 4 0.4
80 5 5 1007 5 5 0.5
80 4 6 1008 6 6 0.6
80 2 9 1008 9 9 0.9
81 5 0 1008 0 0 0.0
81 3 7 1010 7 7 0.7
82 3 5 1011 5 5 0.5
82 5 0 1011 0 0 0.0
82 1 10 1011 10 10 1.0
83 3 7 1011 7 7 0.7
83 4 6 1013 6 6 0.6
84 5 6 1013 6 6 0.6
84 2 8 1013 8 8 0.8
84 8 0 1013 0 0 0.0
85 6 1 1014 1 1 0.1
85 5 5 1014 5 5 0.5
85 2 8 1015 8 8 0.8
86 5 5 1015 5 5 0.5
86 3 7 1015 7 7 0.7
86 4 6 1015 6 6 0.6
87 3 8 1016 8 8 0.8
87 6 7 1016 7 7 0.7
88 3 5 1017 5 5 0.5
88 6 0 1017 0 0 0.0
89 7 5 1017 5 5 0.5
89 5 6 1017 6 6 0.6
89 3 7 1017 7 7 0.7
90 3 5 1019 5 5 0.5
91 4 0 1019 0 0 0.0
91 1 10 1019 10 10 1.0
92 6 4 1020 4 4 0.4
92 3 10 1020 10 10 1.0
92 4 6 1020 6 6 0.6
93 4 5 1020 5 5 0.5
93 3 10 1020 10 10 1.0
94 8 3 1020 3 3 0.3
94 5 5 1020 5 5 0.5
94 3 6 1020 6 6 0.6
95 3 10 1020 10 10 1.0
95 4 0 1020 0 0 0.0
96 3 9 1020 9 9 0.9
96 8 6 1020 6 6 0.6
96 4 7 1020 7 7 0.7
97 8 1 1020 1 1 0.1
97 5 5 1020 5 5 0.5
97 3 6 1020 6 6 0.6
98 4 5 1020 5 5 0.5
98 5 4 1020 4 4 0.4
99 3 5 1020 5 5 0.5
100 1 10 1020 10 10 1.0
100 5 2 1020 2 2 0.2
100 2 6 1020 6 6 0.6
101 5 3 1020 3 3 0.3
101 2 9 1020 9 9 0.9
102 2 7 1020 7 7 0.7
102 6 5 1020 5 5 0.5
103 3 9 1020 9 9 0.9
103 6 4 1020 4 4 0.4
103 4 5 1020 5 5 0.5
104 1 10 1020 10 10 1.0
104 7 5 1021 5 5 0.5
104 3 6 1021 6 6 0.6
105 1 10 1021 10 10 1.0
105 3 9 1021 9 9 0.9
105 5 3 1021 3 3 0.3
105 4 6 1021 6 6 0.6
106 2 10 1021 10 10 1.0
106 5 4 1021 4 4 0.4
107 2 6 1021 6 6 0.6
108 4 5 1022 5 5 0.5
108 3 10 1022 10 10 1.0
109 3 5 1022 5 5 0.5
109 6 4 1022 4 4 0.4
110 3 8 1022 8 8 0.8
