gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 3 9.94140625 3 10 7 1.0
1 4 9.375 32 10 7 1.0
1 5 9.0234375 50 10 7 1.0
2 3 8.88671875 57 10 7 1.0
2 4 6.111328125 65 7 4 0.5714285714285714
3 5 5.994140625 103 7 4 0.5714285714285714
3 3 8.740234375 129 10 7 1.0
4 5 8.486328125 155 10 7 1.0
4 7 6.0625 160 7 4 0.5714285714285714
5 8 5.857421875 195 7 4 0.5714285714285714
5 3 8.775390625 209 10 7 1.0
6 6 7.705078125 221 9 6 0.8571428571428571
6 3 8.658203125 229 10 7 1.0
7 2 8.564453125 245 10 7 1.0
7 5 4.552734375 247 6 3 0.42857142857142855
7 3 8.529296875 251 10 7 1.0
8 5 5.5 256 7 4 0.5714285714285714
8 2 8.4765625 260 10 7 1.0
8 3 8.40625 272 10 7 1.0
8 4 8.353515625 281 10 7 1.0
9 3 8.2421875 300 10 7 1.0
10 4 7.21875 304 9 6 0.8571428571428571
10 3 8.18359375 310 10 7 1.0
10 6 7.166015625 313 9 6 0.8571428571428571
11 5 6.04296875 334 8 5 0.7142857142857143
11 4 8.03125 336 10 7 1.0
12 5 7.001953125 341 9 6 0.8571428571428571
12 3 8.001953125 341 10 7 1.0
12 4 7.990234375 343 10 7 1.0
13 4 6.92578125 354 9 6 0.8571428571428571
13 3 7.884765625 361 10 7 1.0
14 3 7.802734375 375 10 7 1.0
14 4 4.76171875 382 7 4 0.5714285714285714
15 4 7.685546875 395 10 7 1.0
15 6 7.650390625 401 10 7 1.0
16 4 5.638671875 403 8 5 0.7142857142857143
17 4 4.568359375 415 7 4 0.5714285714285714
17 3 7.5625 416 10 7 1.0
18 3 7.52734375 422 10 7 1.0
18 6 7.498046875 427 10 7 1.0
19 4 7.46875 432 10 7 1.0
19 5 4.462890625 433 7 4 0.5714285714285714
20 3 7.392578125 445 10 7 1.0
21 2 7.369140625 449 10 7 1.0
21 4 7.357421875 451 10 7 1.0
21 5 6.3515625 452 9 6 0.8571428571428571
22 5 5.322265625 457 8 5 0.7142857142857143
22 3 7.310546875 459 10 7 1.0
23 5 4.298828125 461 7 4 0.5714285714285714
23 4 7.287109375 463 10 7 1.0
24 4 6.287109375 463 9 6 0.8571428571428571
25 3 3.251953125 469 6 3 0.42857142857142855
