gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 3 0.994140625 3 1 1 0.1
1 6 0 34 0 0 0.0
2 6 0 76 0 0 0.0
2 3 1 93 1 1 0.1
3 4 0 104 0 0 0.0
4 2 3 138 3 3 0.3
4 3 0 153 0 0 0.0
5 3 0 179 0 0 0.0
6 4 0 211 0 0 0.0
6 3 2 215 2 2 0.2
7 3 0 242 0 0 0.0
8 4 0 255 0 0 0.0
8 3 3 279 3 3 0.3
9 4 1 283 1 1 0.1
9 3 2 285 2 2 0.2
9 5 0 292 0 0 0.0
10 4 0 316 0 0 0.0
11 4 0 333 0 0 0.0
11 2 1 341 1 1 0.1
12 1 2 343 2 2 0.2
12 5 0 346 0 0 0.0
13 4 0 360 0 0 0.0
13 3 1 367 1 1 0.1
14 2 2 377 2 2 0.2
14 4 0 389 0 0 0.0
15 2 2 396 2 2 0.2
15 3 1 396 1 1 0.1
15 5 0 401 0 0 0.0
16 3 2 405 2 2 0.2
16 4 1 408 1 1 0.1
16 5 0 409 0 0 0.0
17 5 0 412 0 0 0.0
17 3 1 415 1 1 0.1
18 2 1 418 1 1 0.1
18 3 0 419 0 0 0.0
19 2 4 424 4 4 0.4
19 3 1 428 1 1 0.1
19 4 0 428 0 0 0.0
20 1 4 433 4 4 0.4
20 4 0 435 0 0 0.0
20 3 1 435 1 1 0.1
21 4 0 436 0 0 0.0
21 2 3 436 3 3 0.3
21 3 1 445 1 1 0.1
22 5 0 448 0 0 0.0
22 3 2 450 2 2 0.2
23 2 1 455 1 1 0.1
23 5 0 458 0 0 0.0
24 4 0 460 0 0 0.0
24 2 2 462 2 2 0.2
25 3 1 466 1 1 0.1
25 5 0 467 0 0 0.0
26 5 0 471 0 0 0.0
26 3 4 471 4 4 0.4
26 4 1 472 1 1 0.1
27 1 3 472 3 3 0.3
27 3 2 472 2 2 0.2
27 4 0 472 0 0 0.0
28 3 1 473 1 1 0.1
28 5 0 475 0 0 0.0
29 4 1 475 1 1 0.1
29 5 0 475 0 0 0.0
30 5 0 478 0 0 0.0
30 4 1 479 1 1 0.1
31 4 0 482 0 0 0.0
32 3 0 485 0 0 0.0
32 2 3 489 3 3 0.3
33 4 0 489 0 0 0.0
34 4 0 491 0 0 0.0
34 2 4 494 4 4 0.4
35 3 3 494 3 3 0.3
35 2 6 494 6 6 0.6
35 4 0 494 0 0 0.0
36 3 0 494 0 0 0.0
36 2 4 494 4 4 0.4
37 4 0 495 0 0 0.0
37 3 3 495 3 3 0.3
38 6 0 495 0 0 0.0
38 3 1 495 1 1 0.1
39 3 4 495 4 4 0.4
39 5 0 495 0 0 0.0
40 4 1 496 1 1 0.1
40 2 3 497 3 3 0.3
40 5 0 497 0 0 0.0
41 2 1 499 1 1 0.1
41 3 0 499 0 0 0.0
42 4 0 500 0 0 0.0
43 3 2 500 2 2 0.2
43 4 0 500 0 0 0.0
44 4 1 500 1 1 0.1
44 5 0 500 0 0 0.0
44 2 2 504 2 2 0.2
45 3 1 504 1 1 0.1
45 4 0 504 0 0 0.0
46 3 0 504 0 0 0.0
47 6 0 504 0 0 0.0
47 2 1 504 1 1 0.1
48 2 1 504 1 1 0.1
48 4 0 504 0 0 0.0
49 2 2 505 2 2 0.2
49 6 0 505 0 0 0.0
49 4 1 505 1 1 0.1
50 3 0 505 0 0 0.0
51 2 0 505 0 0 0.0
52 3 1 505 1 1 0.1
52 4 0 505 0 0 0.0
53 4 0 506 0 0 0.0
53 2 2 506 2 2 0.2
54 3 0 506 0 0 0.0
55 4 1 506 1 1 0.1
55 2 2 506 2 2 0.2
55 5 0 506 0 0 0.0
56 3 0 506 0 0 0.0
57 3 1 506 1 1 0.1
57 5 0 507 0 0 0.0
57 2 4 507 4 4 0.4
58 3 1 507 1 1 0.1
58 2 5 507 5 5 0.5
