gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 3 8.859375 9 9 9 0.9
1 4 1.974609375 13 2 2 0.2
1 7 1 39 1 1 0.1
2 4 5 69 5 5 0.5
2 2 8 71 8 8 0.8
3 5 1 93 1 1 0.1
3 3 4 108 4 4 0.4
4 3 5 137 5 5 0.5
4 5 4 153 4 4 0.4
5 4 6 169 6 6 0.6
5 3 7 178 7 7 0.7
5 6 5 182 5 5 0.5
6 3 9 198 9 9 0.9
6 4 0 206 0 0 0.0
7 3 9 233 9 9 0.9
7 4 5 245 5 5 0.5
8 5 3 249 3 3 0.3
8 3 10 254 10 10 1.0
8 4 7 258 7 7 0.7
9 3 9 276 9 9 0.9
9 5 2 278 2 2 0.2
10 4 0 292 0 0 0.0
11 2 8 307 8 8 0.8
11 4 3 314 3 3 0.3
12 6 1 323 1 1 0.1
12 5 6 324 6 6 0.6
12 4 8 325 8 8 0.8
12 2 10 331 10 10 1.0
13 2 9 345 9 9 0.9
13 4 4 350 4 4 0.4
14 3 3 353 3 3 0.3
14 2 7 357 7 7 0.7
14 4 0 361 0 0 0.0
15 4 4 368 4 4 0.4
15 3 8 370 8 8 0.8
16 3 6 393 6 6 0.6
17 3 8 395 8 8 0.8
17 6 7 401 7 7 0.7
18 4 6 410 6 6 0.6
18 3 9 410 9 9 0.9
18 5 2 415 2 2 0.2
19 3 7 420 7 7 0.7
19 4 4 424 4 4 0.4
19 5 2 424 2 2 0.2
20 4 6 432 6 6 0.6
20 5 3 434 3 3 0.3
21 3 4 435 4 4 0.4
21 4 2 440 2 2 0.2
22 2 9 445 9 9 0.9
22 4 6 445 6 6 0.6
23 4 8 449 8 8 0.8
23 7 1 449 1 1 0.1
23 5 5 450 5 5 0.5
23 6 4 451 4 4 0.4
24 3 7 452 7 7 0.7
24 4 5 454 5 5 0.5
25 3 4 455 4 4 0.4
25 4 0 457 0 0 0.0
26 4 5 460 5 5 0.5
26 3 10 463 10 10 1.0
27 4 7 464 7 7 0.7
27 8 6 468 6 6 0.6
28 3 4 471 4 4 0.4
